# Consolidated INTERNAL redirects (replaces per-page #REDIRECT stub files).
# Format: <source page title><TAB><target page title>. One redirect per line.
# Lines starting with '#' and blank lines are ignored. Sorted by source.
# Editable by content maintainers; the static generator reads this at build.
2FA	Moved:Two-factor_authentication_2FA
Tuning	Moved:Tuning
Tunnel Proxy or SSH or VPN through Tor	Tunnels/Introduction
Tunnel Tor through proxy or VPN or SSH	Tunnels/Introduction
Tunnels	Tunnels/Introduction
Two-factor authentication 2FA	Moved:Two-factor_authentication_2FA
UDP	Tunnel_UDP_over_Tor
Undocumented	Unsupported
Untested	Unsupported
Update	Moved:Update
Upgrade	Moved:Operating System Software and Updates
Upgrading Whonix 10 to Whonix 11	Release Upgrade
Upgrading Whonix 11 to Whonix 12	Release Upgrade
Upgrading Whonix 12 to Whonix 13	Release Upgrade
Upgrading Whonix 13 to Whonix 14	Release Upgrade
Upgrading Whonix 14 to Whonix 15	Release Upgrade
Upgrading Whonix 15 to Whonix 16	Release Upgrade Whonix 15 to Whonix 16
Upgrading Whonix 8 to Whonix 9	Release Upgrade
Using Tunnels with Whonix	Tunnels/Introduction
VM Live Mode	Moved:VM_Live_Mode
VM Live Mode/Immutable Disk Method on VirtualBox	Moved:Immutable_Disk_Method_on_VirtualBox
VM Live Mode/Read Only Mode Hard Drive	Moved:VM_Live_Mode/Read_Only_Mode_Hard_Drive
VM Live Mode/ro-mode-init	Moved:ro-mode-init
VNC	Remote Administration
Vc	Desktop#Virtual_Consoles
Verification Assets	Trust
Verified Boot	Moved:Verified_Boot
Verify the Project Windows Installer	Verify_the_images_using_Windows
Verify the Whonix Windows Installer	Verify_the_images_using_Windows
Verify the Whonix images	Verify the images
Verify the virtual machine images	Verify the images
Verify the virtual machine images using Linux	Verify the images using Linux
Verify the virtual machine images using Mac	Verify the images using macOS
Verify the virtual machine images using Windows	Verify the images using Windows
Verify the virtual machine images using macOS	Verify the images using macOS
Verify the virtual machine images using other operating systems	Signing_Key
Verify the virtual machine images using the command line	Verify_the_images_using_Linux
Verifying Software Signatures	Moved:Verifying_Software_Signatures
Vidalia	Deprecated/Vidalia
VirtualBox Testers Only Version	VirtualBox
VirtualBox Testers Only Version/CLI	VirtualBox
VirtualBox Testers Only Version/KDE	VirtualBox
VirtualBox Testers Only Version/XFCE	VirtualBox
VirtualBox/CLI	VirtualBox
VirtualBox/Guest Additions	Moved:VirtualBox/Guest_Additions
VirtualBox/Higher Screen Resolution without installing VirtualBox Guest Additions	Moved:VirtualBox/Higher_Screen_Resolution_without_installing_VirtualBox_Guest_Additions
VirtualBox/KDE	VirtualBox
VirtualBox/Other Versions	Moved:VirtualBox/Other_Versions
VirtualBox/Troubleshooting	Moved:VirtualBox/Troubleshooting
VirtualBox/Verify the virtual machine images using Linux	Verify_the_images_using_Linux
VirtualBox/Verify the virtual machine images using the command line	Verify_the_images_using_Linux
VirtualBox/XFCE	VirtualBox
Virtualization Platform Security	Moved:Virtualization_Platform_Security
Voip	VoIP
Vu	Desktop#Virtual_Consoles
Website Tests	Moved:Website_Tests
Whonix	About
Whonix Build Version	Moved:Systemcheck#Build Version
Whonix Configuration Files	Moved:Configuration_Files
Whonix Debian Packages	Debian_Packages
Whonix Live	Moved:VM_Live_Mode
Whonix Live/Immutable Disk Method on VirtualBox	Moved:Immutable Disk Method on VirtualBox
Whonix Live/Read Only Mode Hard Drive	Moved:VM Live Mode/Read Only Mode Hard Drive
Whonix Live/ro-mode-init	Moved:Ro-mode-init
Whonix Manual Installation	Manually Creating Whonix
Whonix News	Stay Tuned#{{project_name_long}} News
Whonix Old Stable and Earlier Releases	Old Stable and Earlier Releases
Whonix Packages for Debian Hosts	Packages for Debian Hosts
Whonix Release Notes	Changelog
Whonix Security Model	Moved:Security Roadmap
Whonix Security Roadmap	Moved:Security Roadmap
Whonix Signing Key	Signing Key
Whonix Stable Release	Changelog
Whonix Stable Version User Experience	Moved:Stable Version User Experience
Whonix Testers Release	Changelog
Whonix Trademark Policy	Trademark Policy
Whonix and Tor	Why_does_Whonix_use_Tor
Whonix on USB	USB Installation
Whonix-APT-Repository	Project-APT-Repository
Whonix-Gateways Own Traffic Transparent Proxy	Whonix-Gateway Own Traffic Transparent Proxy
Whonix:About	About
Whonix:Copyrights	Copyright
Whonix:General disclaimer	Terms of Service
Whonix:Privacy policy	Privacy Policy
WhonixBackupScript	BackupScript
Whonixcheck	Moved:Systemcheck
Whonixcheck Hardening	Moved:Systemcheck Hardening
Why Whonix is Free Software	Reasons for Freedom Software
Why Whonix is Freedom Software	Reasons for Freedom Software
Windows	VirtualBox
Windows Hosts	Moved:Windows_Hosts
Windows Quick Start	VirtualBox
Wormhole	File_Sharing#Magic-Wormhole
XChat	HexChat
Youtube-dl	Yt-dlp
YubiKey	Moved:Yubikey
